State,state_pop,city_count,state_cvs_count,mean,under,state_under_count,city_under_count
California,39512223,398,1175,2.9522613065326633,True,10.0,134.0
Texas,28995881,280,843,3.0107142857142857,True,27.0,29.0
New York,19453561,293,572,1.9522184300341296,True,12.0,196.0
Washington,7614893,29,45,1.5517241379310345,True,183.0,48.0
Arizona,7278717,48,197,4.104166666666667,True,21.0,14.0
Tennessee,6829174,78,161,2.0641025641025643,True,44.0,19.0
Wisconsin,5822434,47,82,1.7446808510638299,True,93.0,13.0
Colorado,5758736,29,51,1.7586206896551724,True,122.0,52.0
Minnesota,5639632,78,133,1.705128205128205,True,36.0,5.0
Kentucky,4467673,45,81,1.8,True,53.0,5.0
Oregon,4217737,14,22,1.5714285714285714,True,105.0,27.0
Oklahoma,3956971,28,78,2.7857142857142856,True,41.0,1.0
Utah,3205958,17,29,1.7058823529411764,True,67.0,7.0
Iowa,3155070,19,39,2.0526315789473686,True,56.0,3.0
Arkansas,3017804,16,23,1.4375,True,68.0,8.0
Kansas,2913314,20,54,2.7,True,33.0,8.0
New Mexico,2096829,10,25,2.5,True,38.0,7.0
Nebraska,1934408,9,30,3.3333333333333335,True,28.0,2.0
Idaho,1787065,3,3,1.0,True,51.0,9.0
Montana,1068778,8,16,2.0,True,16.0,1.0
South Dakota,884659,2,3,1.5,True,24.0,4.0
North Dakota,762062,4,6,1.5,True,17.0,3.0
Alaska,731545,2,4,2.0,True,18.0,7.0
Wyoming,578759,2,2,1.0,True,15.0,2.0
Louisiana,4648794,58,135,2.3275862068965516,True,4.0,0.0
Puerto Rico,3193694,14,22,1.5714285714285714,True,74.0,0.0
Mississippi,2976149,40,57,1.425,True,32.0,0.0
Maine,1344212,18,25,1.3888888888888888,True,15.0,0.0
Delaware,973764,14,20,1.4285714285714286,True,9.0,0.0
Vermont,623989,9,9,1.0,True,10.0,0.0
